region_name,year,month,nuovi_positivi,ospedalizzati,deceduti,tamponi_totali,tasso_positivita
Sicilia,2023,9,815,5996,386078,6055,13.46
Toscana,2023,9,8331,6194,361207,55010,15.14
Umbria,2023,9,2449,1729,75127,12404,19.74
Valle d'Aosta,2023,9,270,220,17225,1320,20.45
Veneto,2023,9,19672,7109,607319,158281,12.43
Abruzzo,2023,10,3473,1735,123923,23040,15.07
Basilicata,2023,10,222,610,32381,3318,6.69
Calabria,2023,10,1902,1789,109798,17785,10.69
Campania,2023,10,13168,3320,372129,127448,10.33
Emilia-Romagna,2023,10,10782,19731,608161,69372,15.54
Friuli Venezia Giulia,2023,10,3011,4019,193212,15802,19.05
Lazio,2023,10,17258,9221,404783,115718,14.91
Liguria,2023,10,3900,4393,185013,24070,16.20
Lombardia,2023,10,36339,9920,1437788,213538,17.02
Marche,2023,10,2806,2107,138621,7636,36.75
Molise,2023,10,396,213,23330,4244,9.33
Piemonte,2023,10,14647,12185,430170,102724,14.26
Puglia,2023,10,6794,2435,305703,63176,10.75
Sardegna,2023,10,1796,4795,92160,13555,13.25
Sicilia,2023,10,581,5207,399969,5295,10.97
Toscana,2023,10,9150,8536,375010,63452,14.42
Umbria,2023,10,2956,3172,77787,14514,20.37
Valle d'Aosta,2023,10,515,637,17881,2341,22.00
Veneto,2023,10,22954,12776,629163,170117,13.49
Abruzzo,2023,11,5489,3591,120301,27114,20.24
Basilicata,2023,11,255,527,31388,3149,8.10
Calabria,2023,11,1479,1755,107026,14709,10.06
Campania,2023,11,8172,2665,361180,101997,8.01
Emilia-Romagna,2023,11,13027,27317,591510,67227,19.38
Friuli Venezia Giulia,2023,11,3656,4749,188497,15798,23.14
Lazio,2023,11,16114,10244,392669,102076,15.79
Liguria,2023,11,4096,5656,179524,21821,18.77
Lombardia,2023,11,44856,12692,1399317,217828,20.59
Marche,2023,11,3675,3291,134470,7933,46.33
Molise,2023,11,374,202,22957,3266,11.45
Piemonte,2023,11,18143,16738,416657,106174,17.09
Puglia,2023,11,7031,2724,296489,58554,12.01
Sardegna,2023,11,518,4680,89250,10634,4.87
Sicilia,2023,11,281,3842,387892,4754,5.91
Toscana,2023,11,8011,8806,364966,57208,14.00
Umbria,2023,11,2124,3322,75493,10560,20.11
Valle d'Aosta,2023,11,295,491,17341,1808,16.32
Veneto,2023,11,33567,17231,611880,189719,17.69
Abruzzo,2023,12,10900,7399,125505,49079,22.21
Basilicata,2023,12,522,1002,32487,4790,10.90
Calabria,2023,12,4472,3167,111645,21196,21.10
Campania,2023,12,24016,5182,373908,132709,18.10
Emilia-Romagna,2023,12,13842,41046,615952,74514,18.58
Friuli Venezia Giulia,2023,12,5081,6652,197034,20509,24.77
Lazio,2023,12,37220,19876,407112,162264,22.94
Liguria,2023,12,6700,9091,186026,30465,21.99
Lombardia,2023,12,43327,29129,1460721,245444,17.65
Marche,2023,12,6203,7235,139678,10880,57.01
Molise,2023,12,1120,320,24139,5184,21.60
Piemonte,2023,12,16729,18571,430896,108576,15.41
Puglia,2023,12,16534,4889,307961,77818,21.25
Sardegna,2023,12,1079,5641,92225,14442,7.47
Sicilia,2023,12,709,6827,401552,4580,15.48
Toscana,2023,12,12985,16826,381561,70178,18.50
Umbria,2023,12,4804,5740,78147,15706,30.59
Valle d'Aosta,2023,12,290,552,18053,1632,17.77
Veneto,2023,12,30404,26291,637609,180503,16.84
